tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,ChemicalPlant,RawMaterialForElastomer,ElastomerSynthesisProcess,RealElastomer,ElastomerCharacterization,Density ,Hardness (Shore A),Tensile Strength (MPa),Elongation at Break (%),Thermal Stability 
Michelin tyre process,Belt Building,High Shear Mixing,Sheeting Calender,Lanxess,"Isoprene Monomer, Softeners",Bulk Polymerization,Polyisoprene Rubber (IR),Moving Die Rheometry (MDR),0.86,60,21,355,131
Michelin tyre process,Tyre Curing,Internal Mixing,Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),0.95,73,21.4,408,122
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Chloroprene Rubber (CR),Gel Content (%),1.01,65,15.6,395,122
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Fourier Transform Infrared Spectroscopy (FTIR),1.05,68,14.8,510,143
Michelin tyre process,Microwave Curing,Two-Stage Mixing,Sheeting Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.07,73,21.2,472,100
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),Multi-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),0.94,58,20.8,470,152
Michelin tyre process,Microwave Curing,High Shear Mixing,3-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Chloroprene Rubber (CR),Dynamic Mechanical Analysis (DMA),0.95,58,19.3,505,141
Michelin tyre process,Cap Ply Winding,High Shear Mixing,3-Roll Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Chloroprene Rubber (CR),Moving Die Rheometry (MDR),0.93,62,16,499,113
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Multi-Roll Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Butyl Rubber (IIR),Gel Content (%),0.92,58,17.4,356,139
Michelin tyre process,Radial Tyre Building,Internal Mixing,Sheeting Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.06,61,19.7,430,141
Michelin tyre process,Belt Building,Two-Stage Mixing,4-Roll Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Nitrile Rubber (NBR),Gel Content (%),1.07,71,18.3,473,156
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Co-Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.07,59,15.5,366,100
Michelin tyre process,Tyre Curing,Open Mill Mixing,Multi-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),1.04,59,17.6,418,112
Michelin tyre process,Belt Building,Internal Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Emulsion Polymerization,Natural Rubber (NR),Gel Content (%),1.02,65,15.5,397,157
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,Multi-Roll Calender,Lanxess,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.09,62,18.6,524,151
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Butyl Rubber (IIR),Dynamic Mechanical Analysis (DMA),1,55,15.8,394,147
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),3-Roll Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),1.09,64,14.5,445,128
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),3-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Moving Die Rheometry (MDR),0.91,64,16.3,494,111
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),0.86,66,17,403,124
Michelin tyre process,Tyre Curing,High Shear Mixing,3-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),1.01,73,16.7,423,139
Michelin tyre process,Microwave Curing,Open Mill Mixing,Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),0.97,64,13.4,398,150
Michelin tyre process,Tyre Curing,Two-Stage Mixing,3-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),1.09,67,17.3,435,100
Michelin tyre process,Belt Building,Two-Stage Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),0.85,72,13.5,549,145
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Dow Chemical,"Isoprene Monomer, Softeners",Solution Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),0.9,56,14.2,515,154
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),1.1,69,14.9,392,154
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,Lanxess,"Isoprene Monomer, Softeners",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),1.04,63,16.3,502,140
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Multi-Roll Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Dynamic Mechanical Analysis (DMA),0.99,68,17.3,514,133
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),1.02,64,18.3,500,138
Michelin tyre process,Microwave Curing,Internal Mixing,3-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Solution Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.88,60,19,488,110
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),Sheeting Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Moving Die Rheometry (MDR),1.07,65,21,356,153
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),4-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),0.97,61,19.3,364,123
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,4-Roll Calender,Lanxess,"Isoprene Monomer, Softeners",Solution Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.88,68,19,482,151
Michelin tyre process,Cap Ply Winding,Open Mill Mixing,Sheeting Calender,Michelin,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),0.87,56,20.2,369,156
Michelin tyre process,Cap Ply Winding,Internal Mixing,3-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),1.07,55,20.5,469,157
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.88,74,16.3,544,127
Michelin tyre process,Belt Building,Two-Stage Mixing,3-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Carbon Black Reinforcement,Chloroprene Rubber (CR),Gel Content (%),0.94,71,14.3,544,149
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),3-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Natural Rubber (NR),Tensile Modulus (%),1.08,68,19.4,359,120
Michelin tyre process,Microwave Curing,Internal Mixing,4-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),0.89,64,13.1,527,122
Michelin tyre process,Radial Tyre Building,High Shear Mixing,4-Roll Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),1.09,61,13.8,509,134
Michelin tyre process,Microwave Curing,Two-Stage Mixing,Multi-Roll Calender,ExxonMobil,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),0.9,61,14.3,355,119
Michelin tyre process,Radial Tyre Building,Internal Mixing,Multi-Roll Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Solution Polymerization,Butyl Rubber (IIR),Gel Content (%),0.95,74,13,511,108
Michelin tyre process,Microwave Curing,Open Mill Mixing,3-Roll Calender,Michelin,"Isoprene Monomer, Softeners",Solution Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),0.94,58,20.8,430,121
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),3-Roll Calender,Dow Chemical,"Nitrile Monomer, Vulcanizing Agents",Solution Polymerization,Nitrile Rubber (NBR),Gel Content (%),0.89,67,16.5,509,146
Michelin tyre process,Belt Building,High Shear Mixing,Sheeting Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),1.03,67,18,398,108
Michelin tyre process,Microwave Curing,Open Mill Mixing,4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.96,62,18.7,505,124
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),Multi-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),1.03,69,21.6,506,142
Michelin tyre process,Belt Building,Internal Mixing,Sheeting Calender,Michelin,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),0.86,63,20.3,530,102
Michelin tyre process,Cap Ply Winding,High Shear Mixing,3-Roll Calender,Goodyear Chemical,"Isoprene Monomer, Softeners",Bulk Polymerization,Polyisoprene Rubber (IR),Gel Content (%),1.06,70,14.4,540,128
Michelin tyre process,Cap Ply Winding,Open Mill Mixing,Sheeting Calender,Michelin,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Gel Content (%),1.01,72,16.5,546,123
Michelin tyre process,Microwave Curing,High Shear Mixing,3-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Butyl Rubber (IIR),Moving Die Rheometry (MDR),0.89,62,15.4,365,146
Michelin tyre process,Microwave Curing,Two-Stage Mixing,3-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),0.88,63,15.6,391,137
Michelin tyre process,Microwave Curing,Open Mill Mixing,Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.92,72,20.9,444,113
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Nitrile Rubber (NBR),Gel Content (%),1.09,66,18.3,407,124
Michelin tyre process,Radial Tyre Building,Internal Mixing,4-Roll Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),1.04,73,13.2,478,132
Michelin tyre process,Tyre Curing,Two-Stage Mixing,4-Roll Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.91,56,13.5,441,153
Michelin tyre process,Belt Building,High Shear Mixing,4-Roll Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),0.98,71,14.4,351,144
Michelin tyre process,Radial Tyre Building,High Shear Mixing,Multi-Roll Calender,Dow Chemical,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),1.07,62,21.9,402,136
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),Sheeting Calender,Dow Chemical,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),1.05,55,17.2,450,156
Michelin tyre process,Tyre Curing,High Shear Mixing,Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),1.07,68,14.7,485,157
Michelin tyre process,Belt Building,Internal Mixing,4-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Butyl Rubber (IIR),Gel Content (%),1.07,70,20.9,355,112
Michelin tyre process,Microwave Curing,Internal Mixing,4-Roll Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),1.02,58,15.5,450,134
Michelin tyre process,Microwave Curing,High Shear Mixing,4-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Chloroprene Rubber (CR),Tensile Modulus (%),0.88,62,21.1,481,109
Michelin tyre process,Radial Tyre Building,High Shear Mixing,Multi-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),1.02,56,15.9,458,111
Michelin tyre process,Cap Ply Winding,Internal Mixing,Multi-Roll Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),0.88,67,18.3,378,158
Michelin tyre process,Belt Building,Internal Mixing,4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Nitrile Rubber (NBR),Gel Content (%),1.09,58,21.2,392,114
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,Sheeting Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Nitrile Rubber (NBR),Tensile Modulus (%),1.01,57,13.5,466,135
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),4-Roll Calender,ExxonMobil,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Natural Rubber (NR),Fourier Transform Infrared Spectroscopy (FTIR),1.01,70,17.2,475,103
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Chloroprene Rubber (CR),Dynamic Mechanical Analysis (DMA),0.89,62,14.5,446,108
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,3-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Solution Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.93,72,16.2,385,108
Michelin tyre process,Belt Building,Open Mill Mixing,3-Roll Calender,Goodyear Chemical,"Isoprene Monomer, Softeners",Co-Polymerization,Polyisoprene Rubber (IR),Moving Die Rheometry (MDR),0.97,58,14.4,467,118
Michelin tyre process,Radial Tyre Building,Internal Mixing,Multi-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),1.03,74,18.3,377,148
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),Sheeting Calender,Dow Chemical,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),1.03,67,21.5,515,151
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),1,65,21.2,517,131
Michelin tyre process,Radial Tyre Building,Internal Mixing,3-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.9,57,16,522,100
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Multi-Roll Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Polyisoprene Rubber (IR),Gel Content (%),0.87,62,16.2,528,107
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,4-Roll Calender,Lanxess,"Isoprene Monomer, Softeners",Carbon Black Reinforcement,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.86,58,15.7,422,137
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),0.98,60,17.2,352,150
Michelin tyre process,Microwave Curing,High Shear Mixing,4-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.88,74,15,425,132
Michelin tyre process,Tyre Curing,High Shear Mixing,4-Roll Calender,ExxonMobil,"Styrene, Butadiene, Antioxidants",Solution Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.98,71,21,509,133
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),Multi-Roll Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),0.99,74,16.5,494,147
Michelin tyre process,Tyre Curing,Two-Stage Mixing,Multi-Roll Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.88,64,21.7,526,149
Michelin tyre process,Radial Tyre Building,High Shear Mixing,3-Roll Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Polyisoprene Rubber (IR),Moving Die Rheometry (MDR),0.92,68,15.5,487,125
